Feature_1,Feature_2,Correlation,Abs_Correlation
internet_access_no_encoded,internet_access_yes_encoded,-1.0000000000000009,1.0000000000000009
study_hours,study_hours_subtract_course_study_hours_mean,0.9998902932367296,0.9998902932367296
class_attendance,class_attendance_subtract_course_class_attendance_mean,0.9998470715519785,0.9998470715519785
sleep_hours,sleep_hours_subtract_course_sleep_hours_mean,0.9998331954571376,0.9998331954571376
sleep_hours,sleep_hours_subtract_study_method_sleep_hours_mean,0.9997387372465877,0.9997387372465877
class_attendance,class_attendance_subtract_study_method_class_attendance_mean,0.9996633326688391,0.9996633326688391
sleep_hours_subtract_course_sleep_hours_mean,sleep_hours_subtract_study_method_sleep_hours_mean,0.9995735096359638,0.9995735096359638
class_attendance_subtract_course_class_attendance_mean,class_attendance_subtract_study_method_class_attendance_mean,0.9995058515835736,0.9995058515835736
study_hours,study_hours_subtract_study_method_study_hours_mean,0.9981601275323175,0.9981601275323175
study_hours_subtract_course_study_hours_mean,study_hours_subtract_study_method_study_hours_mean,0.9980479521383985,0.9980479521383985
sleep_quality_encoded,class_attendance_x_sleep_quality_encoded_FE,0.9357566091552897,0.9357566091552897
study_method_class_attendance_mean,study_method_self-study_encoded,-0.9246322232059733,0.9246322232059733
study_hours,class_attendance_x_study_hours_FE,0.9099550317294585,0.9099550317294585
class_attendance_x_study_hours_FE,study_hours_subtract_course_study_hours_mean,0.9098307890074389,0.9098307890074389
class_attendance_x_study_hours_FE,study_hours_subtract_study_method_study_hours_mean,0.9079114363889321,0.9079114363889321
study_method_sleep_hours_mean,study_method_mixed_encoded,0.9009775988829972,0.9009775988829972
course_sleep_hours_mean,course_b.tech_encoded,-0.8271480632170917,0.8271480632170917
study_hours,study_hours_add_sleep_hours_FE,0.8129982973973517,0.8129982973973517
study_hours_add_sleep_hours_FE,study_hours_subtract_course_study_hours_mean,0.812910778657097,0.812910778657097
study_hours_add_sleep_hours_FE,study_hours_subtract_study_method_study_hours_mean,0.8109896393528573,0.8109896393528573
course_study_hours_mean,course_ba_encoded,-0.760099360823771,0.760099360823771
study_method_study_hours_mean,study_method_sleep_hours_mean,0.7464951532004456,0.7464951532004456
study_method_study_hours_mean,study_method_class_attendance_mean,0.7461780695286142,0.7461780695286142
sleep_quality_encoded,study_hours_x_sleep_quality_encoded_FE,0.7458080942721542,0.7458080942721542
class_attendance_x_study_hours_FE,study_hours_add_sleep_hours_FE,0.744688443721294,0.744688443721294
course_class_attendance_mean,course_b.tech_encoded,0.741621233524738,0.741621233524738
facility_rating_encoded,study_hours_x_facility_rating_encoded_FE,0.7381208697127103,0.7381208697127103
class_attendance_x_sleep_quality_encoded_FE,study_hours_x_sleep_quality_encoded_FE,0.7157540980618092,0.7157540980618092
exam_difficulty_encoded,study_hours_x_exam_difficulty_encoded_FE,0.71184997198917,0.71184997198917
