Feature,Average_Importance
age,-0.915454031036172
study_hours_x_exam_difficulty_encoded_FE,-1.8602650632826288
sleep_hours,-3.76163516263834
class_attendance_study_hours_ratio,-4.044371574723653
class_attendance_x_sleep_quality_encoded_FE,-10.054536209470667
study_hours_x_sleep_quality_encoded_FE,-11.327858886773512
study_hours_x_facility_rating_encoded_FE,-13.991051663076837
study_hours_add_sleep_hours_FE,-14.818953022163436
class_attendance,-20.373801090113233
